Freq.	V(out)
1.10662378397766e+000	(-2.86768655385808e+001dB,8.78739902049034e+001°)
1.10917481526240e+000	(-2.86568927258699e+001dB,8.78691652607702e+001°)
1.11173172728159e+000	(-2.86369200384650e+001dB,8.78643290598839e+001°)
1.11429453359173e+000	(-2.86169474769429e+001dB,8.78594815768852e+001°)
1.11686324778056e+000	(-2.85969750418831e+001dB,8.78546227863569e+001°)
1.11943788346715e+000	(-2.85770027338678e+001dB,8.78497526628240e+001°)
1.12201845430196e+000	(-2.85570305534818e+001dB,8.78448711807532e+001°)
1.12460497396692e+000	(-2.85370585013127e+001dB,8.78399783145531e+001°)
1.12719745617551e+000	(-2.85170865779507e+001dB,8.78350740385738e+001°)
1.12979591467280e+000	(-2.84971147839887e+001dB,8.78301583271070e+001°)
1.13240036323556e+000	(-2.84771431200223e+001dB,8.78252311543859e+001°)
1.13501081567231e+000	(-2.84571715866500e+001dB,8.78202924945848e+001°)
1.13762728582343e+000	(-2.84372001844729e+001dB,8.78153423218192e+001°)
1.14024978756117e+000	(-2.84172289140949e+001dB,8.78103806101458e+001°)
1.14287833478977e+000	(-2.83972577761227e+001dB,8.78054073335621e+001°)
1.14551294144553e+000	(-2.83772867711657e+001dB,8.78004224660061e+001°)
1.14815362149688e+000	(-2.83573158998361e+001dB,8.77954259813570e+001°)
1.15080038894443e+000	(-2.83373451627490e+001dB,8.77904178534342e+001°)
1.15345325782109e+000	(-2.83173745605222e+001dB,8.77853980559975e+001°)
1.15611224219210e+000	(-2.82974040937766e+001dB,8.77803665627471e+001°)
1.15877735615512e+000	(-2.82774337631356e+001dB,8.77753233473233e+001°)
1.16144861384034e+000	(-2.82574635692257e+001dB,8.77702683833065e+001°)
1.16412602941049e+000	(-2.82374935126761e+001dB,8.77652016442170e+001°)
1.16680961706096e+000	(-2.82175235941191e+001dB,8.77601231035148e+001°)
1.16949939101987e+000	(-2.81975538141896e+001dB,8.77550327345997e+001°)
1.17219536554813e+000	(-2.81775841735258e+001dB,8.77499305108110e+001°)
1.17489755493953e+000	(-2.81576146727686e+001dB,8.77448164054273e+001°)
1.17760597352080e+000	(-2.81376453125617e+001dB,8.77396903916666e+001°)
1.18032063565173e+000	(-2.81176760935520e+001dB,8.77345524426861e+001°)
1.18304155572516e+000	(-2.80977070163893e+001dB,8.77294025315819e+001°)
1.18576874816716e+000	(-2.80777380817264e+001dB,8.77242406313892e+001°)
1.18850222743702e+000	(-2.80577692902190e+001dB,8.77190667150816e+001°)
1.19124200802737e+000	(-2.80378006425258e+001dB,8.77138807555719e+001°)
1.19398810446427e+000	(-2.80178321393087e+001dB,8.77086827257109e+001°)
1.19674053130724e+000	(-2.79978637812325e+001dB,8.77034725982881e+001°)
1.19949930314938e+000	(-2.79778955689650e+001dB,8.76982503460313e+001°)
1.20226443461741e+000	(-2.79579275031772e+001dB,8.76930159416063e+001°)
1.20503594037179e+000	(-2.79379595845431e+001dB,8.76877693576169e+001°)
1.20781383510678e+000	(-2.79179918137398e+001dB,8.76825105666049e+001°)
1.21059813355048e+000	(-2.78980241914474e+001dB,8.76772395410498e+001°)
1.21338885046497e+000	(-2.78780567183494e+001dB,8.76719562533687e+001°)
1.21618600064636e+000	(-2.78580893951321e+001dB,8.76666606759162e+001°)
1.21898959892486e+000	(-2.78381222224852e+001dB,8.76613527809844e+001°)
1.22179966016487e+000	(-2.78181552011014e+001dB,8.76560325408025e+001°)
1.22461619926504e+000	(-2.77981883316768e+001dB,8.76506999275369e+001°)
1.22743923115840e+000	(-2.77782216149103e+001dB,8.76453549132908e+001°)
1.23026877081238e+000	(-2.77582550515044e+001dB,8.76399974701045e+001°)
1.23310483322890e+000	(-2.77382886421646e+001dB,8.76346275699549e+001°)
1.23594743344451e+000	(-2.77183223875997e+001dB,8.76292451847554e+001°)
1.23879658653036e+000	(-2.76983562885217e+001dB,8.76238502863561e+001°)
1.24165230759241e+000	(-2.76783903456460e+001dB,8.76184428465432e+001°)
1.24451461177138e+000	(-2.76584245596911e+001dB,8.76130228370392e+001°)
