Freq.	V(out)
1.33967668742593e+000	(-4.85055112540372e+001dB,1.75157672870213e+002°)
1.34276496113786e+000	(-4.84655032992810e+001dB,1.75146538317937e+002°)
1.34586035405594e+000	(-4.84254953104122e+001dB,1.75135377747616e+002°)
1.34896288259164e+000	(-4.83854872872976e+001dB,1.75124191098107e+002°)
1.35207256319427e+000	(-4.83454792298036e+001dB,1.75112978308114e+002°)
1.35518941235103e+000	(-4.83054711377962e+001dB,1.75101739316188e+002°)
1.35831344658715e+000	(-4.82654630111411e+001dB,1.75090474060729e+002°)
1.36144468246594e+000	(-4.82254548497034e+001dB,1.75079182479983e+002°)
1.36458313658892e+000	(-4.81854466533479e+001dB,1.75067864512044e+002°)
1.36772882559584e+000	(-4.81454384219393e+001dB,1.75056520094849e+002°)
1.37088176616484e+000	(-4.81054301553414e+001dB,1.75045149166184e+002°)
1.37404197501251e+000	(-4.80654218534179e+001dB,1.75033751663677e+002°)
1.37720946889394e+000	(-4.80254135160322e+001dB,1.75022327524803e+002°)
1.38038426460288e+000	(-4.79854051430472e+001dB,1.75010876686882e+002°)
1.38356637897177e+000	(-4.79453967343253e+001dB,1.74999399087074e+002°)
1.38675582887188e+000	(-4.79053882897287e+001dB,1.74987894662387e+002°)
1.38995263121334e+000	(-4.78653798091190e+001dB,1.74976363349669e+002°)
1.39315680294529e+000	(-4.78253712923577e+001dB,1.74964805085613e+002°)
1.39636836105593e+000	(-4.77853627393058e+001dB,1.74953219806751e+002°)
1.39958732257261e+000	(-4.77453541498237e+001dB,1.74941607449460e+002°)
1.40281370456195e+000	(-4.77053455237717e+001dB,1.74929967949956e+002°)
1.40604752412990e+000	(-4.76653368610096e+001dB,1.74918301244297e+002°)
1.40928879842186e+000	(-4.76253281613969e+001dB,1.74906607268381e+002°)
1.41253754462274e+000	(-4.75853194247925e+001dB,1.74894885957946e+002°)
1.41579377995707e+000	(-4.75453106510551e+001dB,1.74883137248570e+002°)
1.41905752168908e+000	(-4.75053018400431e+001dB,1.74871361075669e+002°)
1.42232878712281e+000	(-4.74652929916143e+001dB,1.74859557374498e+002°)
1.42560759360218e+000	(-4.74252841056262e+001dB,1.74847726080151e+002°)
1.42889395851109e+000	(-4.73852751819361e+001dB,1.74835867127559e+002°)
1.43218789927353e+000	(-4.73452662204006e+001dB,1.74823980451489e+002°)
1.43548943335364e+000	(-4.73052572208762e+001dB,1.74812065986548e+002°)
1.43879857825583e+000	(-4.72652481832189e+001dB,1.74800123667176e+002°)
1.44211535152486e+000	(-4.72252391072843e+001dB,1.74788153427651e+002°)
1.44543977074592e+000	(-4.71852299929278e+001dB,1.74776155202086e+002°)
1.44877185354475e+000	(-4.71452208400041e+001dB,1.74764128924427e+002°)
1.45211161758773e+000	(-4.71052116483679e+001dB,1.74752074528458e+002°)
1.45545908058195e+000	(-4.70652024178732e+001dB,1.74739991947794e+002°)
1.45881426027534e+000	(-4.70251931483740e+001dB,1.74727881115885e+002°)
1.46217717445671e+000	(-4.69851838397235e+001dB,1.74715741966015e+002°)
1.46554784095590e+000	(-4.69451744917748e+001dB,1.74703574431297e+002°)
1.46892627764385e+000	(-4.69051651043807e+001dB,1.74691378444680e+002°)
1.47231250243271e+000	(-4.68651556773934e+001dB,1.74679153938943e+002°)
1.47570653327588e+000	(-4.68251462106650e+001dB,1.74666900846697e+002°)
1.47910838816819e+000	(-4.67851367040469e+001dB,1.74654619100382e+002°)
1.48251808514594e+000	(-4.67451271573905e+001dB,1.74642308632269e+002°)
1.48593564228699e+000	(-4.67051175705466e+001dB,1.74629969374461e+002°)
1.48936107771090e+000	(-4.66651079433657e+001dB,1.74617601258887e+002°)
1.49279440957898e+000	(-4.66250982756979e+001dB,1.74605204217306e+002°)
1.49623565609442e+000	(-4.65850885673932e+001dB,1.74592778181305e+002°)
1.49968483550236e+000	(-4.65450788183009e+001dB,1.74580323082301e+002°)
1.50314196609001e+000	(-4.65050690282701e+001dB,1.74567838851535e+002°)
1.50660706618673e+000	(-4.64650591971496e+001dB,1.74555325420077e+002°)
1.51008015416413e+000	(-4.64250493247877e+001dB,1.74542782718822e+002°)
1.51356124843619e+000	(-4.63850394110326e+001dB,1.74530210678493e+002°)
1.51705036745932e+000	(-4.63450294557319e+001dB,1.74517609229635e+002°)
1.52054752973248e+000	(-4.63050194587330e+001dB,1.74504978302621e+002°)
1.52405275379728e+000	(-4.62650094198828e+001dB,1.74492317827647e+002°)
1.52756605823806e+000	(-4.62249993390282e+001dB,1.74479627734733e+002°)
1.53108746168202e+000	(-4.61849892160153e+001dB,1.74466907953721e+002°)
1.53461698279928e+000	(-4.61449790506903e+001dB,1.74454158414277e+002°)
1.53815464030302e+000	(-4.61049688428987e+001dB,1.74441379045892e+002°)
1.54170045294954e+000	(-4.60649585924859e+001dB,1.74428569777873e+002°)
1.54525443953840e+000	(-4.60249482992969e+001dB,1.74415730539353e+002°)
1.54881661891247e+000	(-4.59849379631764e+001dB,1.74402861259285e+002°)
1.55238700995807e+000	(-4.59449275839687e+001dB,1.74389961866440e+002°)
1.55596563160506e+000	(-4.59049171615178e+001dB,1.74377032289410e+002°)
1.55955250282694e+000	(-4.58649066956674e+001dB,1.74364072456609e+002°)
1.56314764264094e+000	(-4.58248961862609e+001dB,1.74351082296264e+002°)
1.56675107010813e+000	(-4.57848856331413e+001dB,1.74338061736426e+002°)
1.57036280433354e+000	(-4.57448750361515e+001dB,1.74325010704960e+002°)
1.57398286446620e+000	(-4.57048643951337e+001dB,1.74311929129548e+002°)
1.57761126969933e+000	(-4.56648537099301e+001dB,1.74298816937692e+002°)
1.58124803927037e+000	(-4.56248429803826e+001dB,1.74285674056707e+002°)
1.58489319246110e+000	(-4.55848322063326e+001dB,1.74272500413724e+002°)
1.58854674859776e+000	(-4.55448213876213e+001dB,1.74259295935689e+002°)
1.59220872705115e+000	(-4.55048105240896e+001dB,1.74246060549365e+002°)
1.59587914723672e+000	(-4.54647996155780e+001dB,1.74232794181324e+002°)
1.59955802861465e+000	(-4.54247886619270e+001dB,1.74219496757956e+002°)
1.60324539069002e+000	(-4.53847776629765e+001dB,1.74206168205462e+002°)
1.60694125301286e+000	(-4.53447666185661e+001dB,1.74192808449854e+002°)
1.61064563517825e+000	(-4.53047555285353e+001dB,1.74179417416959e+002°)
1.61435855682647e+000	(-4.52647443927234e+001dB,1.74165995032412e+002°)
1.61808003764305e+000	(-4.52247332109690e+001dB,1.74152541221660e+002°)
1.62181009735891e+000	(-4.51847219831108e+001dB,1.74139055909961e+002°)
1.62554875575047e+000	(-4.51447107089870e+001dB,1.74125539022381e+002°)
1.62929603263970e+000	(-4.51046993884358e+001dB,1.74111990483795e+002°)
1.63305194789432e+000	(-4.50646880212948e+001dB,1.74098410218888e+002°)
1.63681652142779e+000	(-4.50246766074016e+001dB,1.74084798152151e+002°)
1.64058977319952e+000	(-4.49846651465934e+001dB,1.74071154207885e+002°)
1.64437172321491e+000	(-4.49446536387071e+001dB,1.74057478310193e+002°)
1.64816239152549e+000	(-4.49046420835794e+001dB,1.74043770382990e+002°)
1.65196179822900e+000	(-4.48646304810468e+001dB,1.74030030349992e+002°)
1.65576996346951e+000	(-4.48246188309455e+001dB,1.74016258134722e+002°)
1.65958690743754e+000	(-4.47846071331115e+001dB,1.74002453660508e+002°)
