Freq.	V(out)
1.32434153519466e+000	(-4.87055421434237e+001dB,1.75212850272918e+002°)
1.32739445772973e+000	(-4.86655343572458e+001dB,1.75201844651833e+002°)
1.33045441797808e+000	(-4.86255265376155e+001dB,1.75190813315589e+002°)
1.33352143216332e+000	(-4.85855186844015e+001dB,1.75179756203795e+002°)
1.33659551654643e+000	(-4.85455107974723e+001dB,1.75168673255908e+002°)
1.33967668742593e+000	(-4.85055028766957e+001dB,1.75157564411236e+002°)
1.34276496113786e+000	(-4.84654949219393e+001dB,1.75146429608937e+002°)
1.34586035405594e+000	(-4.84254869330703e+001dB,1.75135268788017e+002°)
1.34896288259164e+000	(-4.83854789099556e+001dB,1.75124081887330e+002°)
1.35207256319427e+000	(-4.83454708524614e+001dB,1.75112868845580e+002°)
1.35518941235103e+000	(-4.83054627604539e+001dB,1.75101629601317e+002°)
1.35831344658715e+000	(-4.82654546337986e+001dB,1.75090364092940e+002°)
1.36144468246594e+000	(-4.82254464723607e+001dB,1.75079072258692e+002°)
1.36458313658892e+000	(-4.81854382760051e+001dB,1.75067754036667e+002°)
1.36772882559584e+000	(-4.81454300445962e+001dB,1.75056409364801e+002°)
1.37088176616484e+000	(-4.81054217779982e+001dB,1.75045038180876e+002°)
1.37404197501251e+000	(-4.80654134760746e+001dB,1.75033640422522e+002°)
1.37720946889394e+000	(-4.80254051386887e+001dB,1.75022216027212e+002°)
1.38038426460288e+000	(-4.79853967657035e+001dB,1.75010764932262e+002°)
1.38356637897177e+000	(-4.79453883569814e+001dB,1.74999287074834e+002°)
1.38675582887188e+000	(-4.79053799123846e+001dB,1.74987782391932e+002°)
1.38995263121334e+000	(-4.78653714317748e+001dB,1.74976250820404e+002°)
1.39315680294529e+000	(-4.78253629150133e+001dB,1.74964692296941e+002°)
1.39636836105593e+000	(-4.77853543619612e+001dB,1.74953106758075e+002°)
1.39958732257261e+000	(-4.77453457724789e+001dB,1.74941494140180e+002°)
1.40281370456195e+000	(-4.77053371464268e+001dB,1.74929854379472e+002°)
1.40604752412990e+000	(-4.76653284836645e+001dB,1.74918187412006e+002°)
1.40928879842186e+000	(-4.76253197840516e+001dB,1.74906493173680e+002°)
1.41253754462274e+000	(-4.75853110474470e+001dB,1.74894771600230e+002°)
1.41579377995707e+000	(-4.75453022737095e+001dB,1.74883022627233e+002°)
1.41905752168908e+000	(-4.75052934626972e+001dB,1.74871246190102e+002°)
1.42232878712281e+000	(-4.74652846142683e+001dB,1.74859442224093e+002°)
1.42560759360218e+000	(-4.74252757282800e+001dB,1.74847610664298e+002°)
1.42889395851109e+000	(-4.73852668045897e+001dB,1.74835751445645e+002°)
1.43218789927353e+000	(-4.73452578430541e+001dB,1.74823864502901e+002°)
1.43548943335364e+000	(-4.73052488435295e+001dB,1.74811949770671e+002°)
1.43879857825583e+000	(-4.72652398058720e+001dB,1.74800007183395e+002°)
1.44211535152486e+000	(-4.72252307299372e+001dB,1.74788036675347e+002°)
1.44543977074592e+000	(-4.71852216155805e+001dB,1.74776038180640e+002°)
