Freq.	V(out)
1.15345325782109e+000	(-4.15632875732560e+001dB,1.75828726757992e+002°)
1.15611224219210e+000	(-4.15232815688325e+001dB,1.75819159881563e+002°)
1.15877735615512e+000	(-4.14832755381175e+001dB,1.75809570656271e+002°)
1.16144861384034e+000	(-4.14432694810030e+001dB,1.75799959030016e+002°)
1.16412602941049e+000	(-4.14032633973806e+001dB,1.75790324950566e+002°)
1.16680961706096e+000	(-4.13632572871415e+001dB,1.75780668365564e+002°)
1.16949939101987e+000	(-4.13232511501767e+001dB,1.75770989222524e+002°)
1.17219536554813e+000	(-4.12832449863767e+001dB,1.75761287468832e+002°)
1.17489755493953e+000	(-4.12432387956314e+001dB,1.75751563051745e+002°)
1.17760597352080e+000	(-4.12032325778308e+001dB,1.75741815918389e+002°)
1.18032063565173e+000	(-4.11632263328640e+001dB,1.75732046015764e+002°)
1.18304155572516e+000	(-4.11232200606201e+001dB,1.75722253290737e+002°)
1.18576874816716e+000	(-4.10832137609878e+001dB,1.75712437690046e+002°)
1.18850222743702e+000	(-4.10432074338551e+001dB,1.75702599160299e+002°)
1.19124200802737e+000	(-4.10032010791100e+001dB,1.75692737647973e+002°)
1.19398810446427e+000	(-4.09631946966398e+001dB,1.75682853099413e+002°)
1.19674053130724e+000	(-4.09231882863317e+001dB,1.75672945460832e+002°)
1.19949930314938e+000	(-4.08831818480723e+001dB,1.75663014678313e+002°)
1.20226443461741e+000	(-4.08431753817480e+001dB,1.75653060697805e+002°)
1.20503594037179e+000	(-4.08031688872446e+001dB,1.75643083465126e+002°)
1.20781383510678e+000	(-4.07631623644477e+001dB,1.75633082925958e+002°)
1.21059813355048e+000	(-4.07231558132424e+001dB,1.75623059025853e+002°)
1.21338885046497e+000	(-4.06831492335136e+001dB,1.75613011710227e+002°)
1.21618600064636e+000	(-4.06431426251455e+001dB,1.75602940924364e+002°)
1.21898959892486e+000	(-4.06031359880222e+001dB,1.75592846613411e+002°)
1.22179966016487e+000	(-4.05631293220272e+001dB,1.75582728722383e+002°)
1.22461619926504e+000	(-4.05231226270439e+001dB,1.75572587196157e+002°)
1.22743923115840e+000	(-4.04831159029550e+001dB,1.75562421979477e+002°)
1.23026877081238e+000	(-4.04431091496430e+001dB,1.75552233016951e+002°)
1.23310483322890e+000	(-4.04031023669899e+001dB,1.75542020253048e+002°)
1.23594743344451e+000	(-4.03630955548774e+001dB,1.75531783632103e+002°)
1.23879658653036e+000	(-4.03230887131868e+001dB,1.75521523098314e+002°)
1.24165230759241e+000	(-4.02830818417989e+001dB,1.75511238595740e+002°)
1.24451461177138e+000	(-4.02430749405944e+001dB,1.75500930068304e+002°)
1.24738351424294e+000	(-4.02030680094532e+001dB,1.75490597459789e+002°)
1.25025903021771e+000	(-4.01630610482552e+001dB,1.75480240713843e+002°)
1.25314117494141e+000	(-4.01230540568795e+001dB,1.75469859773972e+002°)
1.25602996369487e+000	(-4.00830470352053e+001dB,1.75459454583543e+002°)
1.25892541179416e+000	(-4.00430399831111e+001dB,1.75449025085785e+002°)
1.26182753459066e+000	(-4.00030329004749e+001dB,1.75438571223787e+002°)
1.26473634747115e+000	(-3.99630257871746e+001dB,1.75428092940495e+002°)
1.26765186585784e+000	(-3.99230186430875e+001dB,1.75417590178718e+002°)
