Freq.	V(rl_out)	V(rlc_out)
1.11429453359173e+000	(-2.86349117621288e+001dB,8.57402767820049e+001°)	(-5.17121923677942e+001dB,1.73838630425047e+002°)
1.11686324778056e+000	(-2.86150215613867e+001dB,8.57305640893636e+001°)	(-5.16722151385936e+001dB,1.73824459538692e+002°)
1.11943788346715e+000	(-2.85951318646466e+001dB,8.57208290906963e+001°)	(-5.16322380193898e+001dB,1.73810255555849e+002°)
1.12201845430196e+000	(-2.85752426742092e+001dB,8.57110717366620e+001°)	(-5.15922610107359e+001dB,1.73796018398776e+002°)
1.12460497396692e+000	(-2.85553539923854e+001dB,8.57012919778166e+001°)	(-5.15522841131879e+001dB,1.73781747989540e+002°)
1.12719745617551e+000	(-2.85354658214969e+001dB,8.56914897646130e+001°)	(-5.15123073273048e+001dB,1.73767444250014e+002°)
1.12979591467280e+000	(-2.85155781638757e+001dB,8.56816650474010e+001°)	(-5.14723306536488e+001dB,1.73753107101877e+002°)
1.13240036323556e+000	(-2.84956910218642e+001dB,8.56718177764267e+001°)	(-5.14323540927849e+001dB,1.73738736466616e+002°)
1.13501081567231e+000	(-2.84758043978156e+001dB,8.56619479018328e+001°)	(-5.13923776452812e+001dB,1.73724332265520e+002°)
1.13762728582343e+000	(-2.84559182940935e+001dB,8.56520553736582e+001°)	(-5.13524013117089e+001dB,1.73709894419686e+002°)
1.14024978756117e+000	(-2.84360327130723e+001dB,8.56421401418379e+001°)	(-5.13124250926422e+001dB,1.73695422850014e+002°)
1.14287833478977e+000	(-2.84161476571371e+001dB,8.56322021562031e+001°)	(-5.12724489886586e+001dB,1.73680917477208e+002°)
1.14551294144553e+000	(-2.83962631286837e+001dB,8.56222413664805e+001°)	(-5.12324730003384e+001dB,1.73666378221776e+002°)
1.14815362149688e+000	(-2.83763791301188e+001dB,8.56122577222926e+001°)	(-5.11924971282654e+001dB,1.73651805004026e+002°)
1.15080038894443e+000	(-2.83564956638597e+001dB,8.56022511731574e+001°)	(-5.11525213730261e+001dB,1.73637197744072e+002°)
1.15345325782109e+000	(-2.83366127323349e+001dB,8.55922216684883e+001°)	(-5.11125457352106e+001dB,1.73622556361828e+002°)
1.15611224219210e+000	(-2.83167303379837e+001dB,8.55821691575937e+001°)	(-5.10725702154120e+001dB,1.73607880777007e+002°)
1.15877735615512e+000	(-2.82968484832565e+001dB,8.55720935896772e+001°)	(-5.10325948142266e+001dB,1.73593170909126e+002°)
1.16144861384034e+000	(-2.82769671706144e+001dB,8.55619949138373e+001°)	(-5.09926195322539e+001dB,1.73578426677500e+002°)
1.16412602941049e+000	(-2.82570864025301e+001dB,8.55518730790672e+001°)	(-5.09526443700967e+001dB,1.73563648001244e+002°)
1.16680961706096e+000	(-2.82372061814871e+001dB,8.55417280342546e+001°)	(-5.09126693283611e+001dB,1.73548834799272e+002°)
1.16949939101987e+000	(-2.82173265099801e+001dB,8.55315597281817e+001°)	(-5.08726944076565e+001dB,1.73533986990296e+002°)
1.17219536554813e+000	(-2.81974473905152e+001dB,8.55213681095249e+001°)	(-5.08327196085955e+001dB,1.73519104492826e+002°)
1.17489755493953e+000	(-2.81775688256096e+001dB,8.55111531268549e+001°)	(-5.07927449317940e+001dB,1.73504187225169e+002°)
1.17760597352080e+000	(-2.81576908177921e+001dB,8.55009147286361e+001°)	(-5.07527703778715e+001dB,1.73489235105429e+002°)
1.18032063565173e+000	(-2.81378133696025e+001dB,8.54906528632270e+001°)	(-5.07127959474505e+001dB,1.73474248051506e+002°)
1.18304155572516e+000	(-2.81179364835924e+001dB,8.54803674788796e+001°)	(-5.06728216411572e+001dB,1.73459225981095e+002°)
1.18576874816716e+000	(-2.80980601623247e+001dB,8.54700585237393e+001°)	(-5.06328474596210e+001dB,1.73444168811687e+002°)
1.18850222743702e+000	(-2.80781844083738e+001dB,8.54597259458451e+001°)	(-5.05928734034749e+001dB,1.73429076460567e+002°)
1.19124200802737e+000	(-2.80583092243259e+001dB,8.54493696931291e+001°)	(-5.05528994733552e+001dB,1.73413948844814e+002°)
1.19398810446427e+000	(-2.80384346127786e+001dB,8.54389897134165e+001°)	(-5.05129256699017e+001dB,1.73398785881299e+002°)
1.19674053130724e+000	(-2.80185605763413e+001dB,8.54285859544253e+001°)	(-5.04729519937578e+001dB,1.73383587486688e+002°)
1.19949930314938e+000	(-2.79986871176352e+001dB,8.54181583637664e+001°)	(-5.04329784455702e+001dB,1.73368353577437e+002°)
1.20226443461741e+000	(-2.79788142392931e+001dB,8.54077068889431e+001°)	(-5.03930050259893e+001dB,1.73353084069794e+002°)
1.20503594037179e+000	(-2.79589419439598e+001dB,8.53972314773514e+001°)	(-5.03530317356691e+001dB,1.73337778879799e+002°)
1.20781383510678e+000	(-2.79390702342920e+001dB,8.53867320762795e+001°)	(-5.03130585752669e+001dB,1.73322437923282e+002°)
1.21059813355048e+000	(-2.79191991129583e+001dB,8.53762086329078e+001°)	(-5.02730855454438e+001dB,1.73307061115863e+002°)
1.21338885046497e+000	(-2.78993285826392e+001dB,8.53656610943086e+001°)	(-5.02331126468647e+001dB,1.73291648372949e+002°)
1.21618600064636e+000	(-2.78794586460275e+001dB,8.53550894074462e+001°)	(-5.01931398801976e+001dB,1.73276199609738e+002°)
1.21898959892486e+000	(-2.78595893058279e+001dB,8.53444935191765e+001°)	(-5.01531672461148e+001dB,1.73260714741216e+002°)
1.22179966016487e+000	(-2.78397205647572e+001dB,8.53338733762470e+001°)	(-5.01131947452918e+001dB,1.73245193682156e+002°)
1.22461619926504e+000	(-2.78198524255447e+001dB,8.53232289252967e+001°)	(-5.00732223784079e+001dB,1.73229636347117e+002°)
1.22743923115840e+000	(-2.77999848909317e+001dB,8.53125601128558e+001°)	(-5.00332501461464e+001dB,1.73214042650445e+002°)
1.23026877081238e+000	(-2.77801179636719e+001dB,8.53018668853456e+001°)	(-4.99932780491941e+001dB,1.73198412506273e+002°)
1.23310483322890e+000	(-2.77602516465314e+001dB,8.52911491890784e+001°)	(-4.99533060882416e+001dB,1.73182745828516e+002°)
1.23594743344451e+000	(-2.77403859422886e+001dB,8.52804069702574e+001°)	(-4.99133342639832e+001dB,1.73167042530875e+002°)
1.23879658653036e+000	(-2.77205208537347e+001dB,8.52696401749764e+001°)	(-4.98733625771174e+001dB,1.73151302526837e+002°)
1.24165230759241e+000	(-2.77006563836730e+001dB,8.52588487492198e+001°)	(-4.98333910283461e+001dB,1.73135525729669e+002°)
1.24451461177138e+000	(-2.76807925349197e+001dB,8.52480326388623e+001°)	(-4.97934196183753e+001dB,1.73119712052422e+002°)
1.24738351424294e+000	(-2.76609293103035e+001dB,8.52371917896689e+001°)	(-4.97534483479149e+001dB,1.73103861407928e+002°)
1.25025903021771e+000	(-2.76410667126659e+001dB,8.52263261472948e+001°)	(-4.97134772176785e+001dB,1.73087973708803e+002°)
1.25314117494141e+000	(-2.76212047448610e+001dB,8.52154356572851e+001°)	(-4.96735062283840e+001dB,1.73072048867442e+002°)
1.25602996369487e+000	(-2.76013434097559e+001dB,8.52045202650746e+001°)	(-4.96335353807530e+001dB,1.73056086796019e+002°)
1.25892541179416e+000	(-2.75814827102305e+001dB,8.51935799159879e+001°)	(-4.95935646755110e+001dB,1.73040087406490e+002°)
1.26182753459066e+000	(-2.75616226491774e+001dB,8.51826145552392e+001°)	(-4.95535941133878e+001dB,1.73024050610589e+002°)
1.26473634747115e+000	(-2.75417632295026e+001dB,8.51716241279319e+001°)	(-4.95136236951171e+001dB,1.73007976319827e+002°)
1.26765186585784e+000	(-2.75219044541248e+001dB,8.51606085790588e+001°)	(-4.94736534214365e+001dB,1.72991864445495e+002°)
1.27057410520854e+000	(-2.75020463259758e+001dB,8.51495678535017e+001°)	(-4.94336832930880e+001dB,1.72975714898660e+002°)
1.27350308101666e+000	(-2.74821888480008e+001dB,8.51385018960315e+001°)	(-4.93937133108175e+001dB,1.72959527590164e+002°)
1.27643880881134e+000	(-2.74623320231579e+001dB,8.51274106513077e+001°)	(-4.93537434753750e+001dB,1.72943302430628e+002°)
1.27938130415752e+000	(-2.74424758544188e+001dB,8.51162940638788e+001°)	(-4.93137737875148e+001dB,1.72927039330446e+002°)
1.28233058265602e+000	(-2.74226203447681e+001dB,8.51051520781815e+001°)	(-4.92738042479953e+001dB,1.72910738199786e+002°)
1.28528665994361e+000	(-2.74027654972042e+001dB,8.50939846385411e+001°)	(-4.92338348575792e+001dB,1.72894398948591e+002°)
1.28824955169313e+000	(-2.73829113147386e+001dB,8.50827916891712e+001°)	(-4.91938656170333e+001dB,1.72878021486578e+002°)
1.29121927361353e+000	(-2.73630578003965e+001dB,8.50715731741735e+001°)	(-4.91538965271287e+001dB,1.72861605723235e+002°)
1.29419584144998e+000	(-2.73432049572166e+001dB,8.50603290375374e+001°)	(-4.91139275886410e+001dB,1.72845151567823e+002°)
1.29717927098395e+000	(-2.73233527882511e+001dB,8.50490592231406e+001°)	(-4.90739588023498e+001dB,1.72828658929374e+002°)
1.30016957803328e+000	(-2.73035012965661e+001dB,8.50377636747483e+001°)	(-4.90339901690392e+001dB,1.72812127716690e+002°)
1.30316677845229e+000	(-2.72836504852412e+001dB,8.50264423360132e+001°)	(-4.89940216894977e+001dB,1.72795557838344e+002°)
1.30617088813183e+000	(-2.72638003573699e+001dB,8.50150951504756e+001°)	(-4.89540533645182e+001dB,1.72778949202679e+002°)
1.30918192299940e+000	(-2.72439509160596e+001dB,8.50037220615629e+001°)	(-4.89140851948979e+001dB,1.72762301717804e+002°)
1.31219989901920e+000	(-2.72241021644315e+001dB,8.49923230125898e+001°)	(-4.88741171814385e+001dB,1.72745615291600e+002°)
1.31522483219223e+000	(-2.72042541056208e+001dB,8.49808979467582e+001°)	(-4.88341493249464e+001dB,1.72728889831711e+002°)
1.31825673855640e+000	(-2.71844067427768e+001dB,8.49694468071565e+001°)	(-4.87941816262322e+001dB,1.72712125245551e+002°)
1.32129563418657e+000	(-2.71645600790628e+001dB,8.49579695367601e+001°)	(-4.87542140861111e+001dB,1.72695321440299e+002°)
1.32434153519466e+000	(-2.71447141176562e+001dB,8.49464660784311e+001°)	(-4.87142467054030e+001dB,1.72678478322899e+002°)
1.32739445772973e+000	(-2.71248688617489e+001dB,8.49349363749180e+001°)	(-4.86742794849324e+001dB,1.72661595800061e+002°)
1.33045441797808e+000	(-2.71050243145467e+001dB,8.49233803688556e+001°)	(-4.86343124255282e+001dB,1.72644673778257e+002°)
1.33352143216332e+000	(-2.70851804792699e+001dB,8.49117980027650e+001°)	(-4.85943455280242e+001dB,1.72627712163725e+002°)
1.33659551654643e+000	(-2.70653373591534e+001dB,8.49001892190535e+001°)	(-4.85543787932587e+001dB,1.72610710862462e+002°)
1.33967668742593e+000	(-2.70454949574462e+001dB,8.48885539600141e+001°)	(-4.85144122220747e+001dB,1.72593669780231e+002°)
1.34276496113786e+000	(-2.70256532774120e+001dB,8.48768921678260e+001°)	(-4.84744458153202e+001dB,1.72576588822553e+002°)
1.34586035405594e+000	(-2.70058123223291e+001dB,8.48652037845539e+001°)	(-4.84344795738477e+001dB,1.72559467894713e+002°)
1.34896288259164e+000	(-2.69859720954905e+001dB,8.48534887521480e+001°)	(-4.83945134985145e+001dB,1.72542306901753e+002°)
1.35207256319427e+000	(-2.69661326002037e+001dB,8.48417470124441e+001°)	(-4.83545475901829e+001dB,1.72525105748476e+002°)
1.35518941235103e+000	(-2.69462938397913e+001dB,8.48299785071633e+001°)	(-4.83145818497200e+001dB,1.72507864339442e+002°)
1.35831344658715e+000	(-2.69264558175903e+001dB,8.48181831779118e+001°)	(-4.82746162779977e+001dB,1.72490582578970e+002°)
1.36144468246594e+000	(-2.69066185369531e+001dB,8.48063609661811e+001°)	(-4.82346508758928e+001dB,1.72473260371137e+002°)
1.36458313658892e+000	(-2.68867820012466e+001dB,8.47945118133475e+001°)	(-4.81946856442872e+001dB,1.72455897619774e+002°)
1.36772882559584e+000	(-2.68669462138531e+001dB,8.47826356606719e+001°)	(-4.81547205840678e+001dB,1.72438494228471e+002°)
1.37088176616484e+000	(-2.68471111781699e+001dB,8.47707324493003e+001°)	(-4.81147556961263e+001dB,1.72421050100570e+002°)
1.37404197501251e+000	(-2.68272768976092e+001dB,8.47588021202630e+001°)	(-4.80747909813595e+001dB,1.72403565139169e+002°)
1.37720946889394e+000	(-2.68074433755988e+001dB,8.47468446144749e+001°)	(-4.80348264406695e+001dB,1.72386039247119e+002°)
1.38038426460288e+000	(-2.67876106155816e+001dB,8.47348598727351e+001°)	(-4.79948620749632e+001dB,1.72368472327025e+002°)
1.38356637897177e+000	(-2.67677786210158e+001dB,8.47228478357269e+001°)	(-4.79548978851529e+001dB,1.72350864281243e+002°)
1.38675582887188e+000	(-2.67479473953752e+001dB,8.47108084440178e+001°)	(-4.79149338721559e+001dB,1.72333215011881e+002°)
1.38995263121334e+000	(-2.67281169421490e+001dB,8.46987416380592e+001°)	(-4.78749700368947e+001dB,1.72315524420798e+002°)
1.39315680294529e+000	(-2.67082872648419e+001dB,8.46866473581862e+001°)	(-4.78350063802973e+001dB,1.72297792409602e+002°)
1.39636836105593e+000	(-2.66884583669744e+001dB,8.46745255446179e+001°)	(-4.77950429032966e+001dB,1.72280018879652e+002°)
1.39958732257261e+000	(-2.66686302520824e+001dB,8.46623761374567e+001°)	(-4.77550796068310e+001dB,1.72262203732055e+002°)
1.40281370456195e+000	(-2.66488029237178e+001dB,8.46501990766887e+001°)	(-4.77151164918443e+001dB,1.72244346867664e+002°)
1.40604752412990e+000	(-2.66289763854483e+001dB,8.46379943021832e+001°)	(-4.76751535592855e+001dB,1.72226448187082e+002°)
1.40928879842186e+000	(-2.66091506408574e+001dB,8.46257617536930e+001°)	(-4.76351908101092e+001dB,1.72208507590657e+002°)
1.41253754462274e+000	(-2.65893256935447e+001dB,8.46135013708536e+001°)	(-4.75952282452752e+001dB,1.72190524978482e+002°)
1.41579377995707e+000	(-2.65695015471256e+001dB,8.46012130931840e+001°)	(-4.75552658657490e+001dB,1.72172500250397e+002°)
1.41905752168908e+000	(-2.65496782052318e+001dB,8.45888968600857e+001°)	(-4.75153036725016e+001dB,1.72154433305983e+002°)
1.42232878712281e+000	(-2.65298556715111e+001dB,8.45765526108432e+001°)	(-4.74753416665093e+001dB,1.72136324044568e+002°)
1.42560759360218e+000	(-2.65100339496276e+001dB,8.45641802846237e+001°)	(-4.74353798487543e+001dB,1.72118172365221e+002°)
1.42889395851109e+000	(-2.64902130432616e+001dB,8.45517798204767e+001°)	(-4.73954182202241e+001dB,1.72099978166751e+002°)
1.43218789927353e+000	(-2.64703929561098e+001dB,8.45393511573345e+001°)	(-4.73554567819123e+001dB,1.72081741347712e+002°)
1.43548943335364e+000	(-2.64505736918854e+001dB,8.45268942340115e+001°)	(-4.73154955348176e+001dB,1.72063461806395e+002°)
1.43879857825583e+000	(-2.64307552543182e+001dB,8.45144089892043e+001°)	(-4.72755344799449e+001dB,1.72045139440833e+002°)
1.44211535152486e+000	(-2.64109376471543e+001dB,8.45018953614918e+001°)	(-4.72355736183047e+001dB,1.72026774148796e+002°)
1.44543977074592e+000	(-2.63911208741567e+001dB,8.44893532893348e+001°)	(-4.71956129509133e+001dB,1.72008365827794e+002°)
1.44877185354475e+000	(-2.63713049391051e+001dB,8.44767827110759e+001°)	(-4.71556524787928e+001dB,1.71989914375073e+002°)
1.45211161758773e+000	(-2.63514898457959e+001dB,8.44641835649397e+001°)	(-4.71156922029712e+001dB,1.71971419687616e+002°)
1.45545908058195e+000	(-2.63316755980425e+001dB,8.44515557890324e+001°)	(-4.70757321244824e+001dB,1.71952881662142e+002°)
1.45881426027534e+000	(-2.63118621996752e+001dB,8.44388993213416e+001°)	(-4.70357722443663e+001dB,1.71934300195104e+002°)
1.46217717445671e+000	(-2.62920496545413e+001dB,8.44262140997367e+001°)	(-4.69958125636688e+001dB,1.71915675182691e+002°)
1.46554784095590e+000	(-2.62722379665051e+001dB,8.44135000619683e+001°)	(-4.69558530834416e+001dB,1.71897006520823e+002°)
1.46892627764385e+000	(-2.62524271394482e+001dB,8.44007571456681e+001°)	(-4.69158938047429e+001dB,1.71878294105156e+002°)
1.47231250243271e+000	(-2.62326171772693e+001dB,8.43879852883494e+001°)	(-4.68759347286366e+001dB,1.71859537831074e+002°)
1.47570653327588e+000	(-2.62128080838847e+001dB,8.43751844274060e+001°)	(-4.68359758561929e+001dB,1.71840737593695e+002°)
1.47910838816819e+000	(-2.61929998632277e+001dB,8.43623545001132e+001°)	(-4.67960171884882e+001dB,1.71821893287866e+002°)
1.48251808514594e+000	(-2.61731925192494e+001dB,8.43494954436268e+001°)	(-4.67560587266051e+001dB,1.71803004808164e+002°)
1.48593564228699e+000	(-2.61533860559180e+001dB,8.43366071949836e+001°)	(-4.67161004716325e+001dB,1.71784072048895e+002°)
1.48936107771090e+000	(-2.61335804772198e+001dB,8.43236896911009e+001°)	(-4.66761424246654e+001dB,1.71765094904091e+002°)
1.49279440957898e+000	(-2.61137757871585e+001dB,8.43107428687767e+001°)	(-4.66361845868055e+001dB,1.71746073267513e+002°)
1.49623565609442e+000	(-2.60939719897556e+001dB,8.42977666646893e+001°)	(-4.65962269591607e+001dB,1.71727007032648e+002°)
1.49968483550236e+000	(-2.60741690890503e+001dB,8.42847610153976e+001°)	(-4.65562695428451e+001dB,1.71707896092709e+002°)
1.50314196609001e+000	(-2.60543670891000e+001dB,8.42717258573407e+001°)	(-4.65163123389798e+001dB,1.71688740340630e+002°)
1.50660706618673e+000	(-2.60345659939799e+001dB,8.42586611268378e+001°)	(-4.64763553486918e+001dB,1.71669539669074e+002°)
1.51008015416413e+000	(-2.60147658077832e+001dB,8.42455667600882e+001°)	(-4.64363985731152e+001dB,1.71650293970423e+002°)
1.51356124843619e+000	(-2.59949665346214e+001dB,8.42324426931715e+001°)	(-4.63964420133903e+001dB,1.71631003136784e+002°)
1.51705036745932e+000	(-2.59751681786241e+001dB,8.42192888620468e+001°)	(-4.63564856706643e+001dB,1.71611667059983e+002°)
1.52054752973248e+000	(-2.59553707439392e+001dB,8.42061052025534e+001°)	(-4.63165295460909e+001dB,1.71592285631567e+002°)
1.52405275379728e+000	(-2.59355742347329e+001dB,8.41928916504101e+001°)	(-4.62765736408306e+001dB,1.71572858742805e+002°)
1.52756605823806e+000	(-2.59157786551901e+001dB,8.41796481412155e+001°)	(-4.62366179560507e+001dB,1.71553386284681e+002°)
1.53108746168202e+000	(-2.58959840095139e+001dB,8.41663746104476e+001°)	(-4.61966624929253e+001dB,1.71533868147900e+002°)
1.53461698279928e+000	(-2.58761903019262e+001dB,8.41530709934641e+001°)	(-4.61567072526352e+001dB,1.71514304222882e+002°)
1.53815464030302e+000	(-2.58563975366676e+001dB,8.41397372255020e+001°)	(-4.61167522363685e+001dB,1.71494694399766e+002°)
1.54170045294954e+000	(-2.58366057179972e+001dB,8.41263732416776e+001°)	(-4.60767974453198e+001dB,1.71475038568403e+002°)
